"","unodes","Division","Divisionc","Building","Buildingc","Dept","Deptc","Status","Statusc","Fulltime","Supervisor","Gender","Genderc","Race","Racec","Ageyrs","Tenureyrs","Education","Institution","GradYr","EIperc","EIfac","EIund","EImgt","EItotal","ito","jobsat","occ","oca","oc","wkinclu","flextimeh","pos","procjust","pied","satreward","satpay","satbenefit","satall","distjust","satsuper","satsocreward","sreffort","jobsearch","trustsuper","trustcowker","interperjust","srocbi","srocbo","srocb","wkfamconflict","wkfamconflictMC","famwkconflict","wkfamwkconflict","panaspos","panasneg","panascomb","agreeabl","conscient","ocbi","ocbo","ocb","efforts","absenses","knowledgeproc","knowledgejob","knowledge","performance","overallperformance","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108"
"51",168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",171,"LEXINGTON",2,"NANDINO",7,"""Accounting""",1,"ACTIVE",1,1,1,"FEMALE",0,"White",1,40,1.41666666666667,5,"""Midway College""",2002,108.984930601747,88.6164914823819,99.4836740202752,99.3240931348307,99.096796178767,2.67,4,3.25,3.6,3.425,2.85714285714286,1,4,2,2.66666666666667,2,4,3,3,4,4,4,4,1.5,4,4,4,3.5,4.25,3.875,2,-0.823,2,2,3.66666666666667,2.16666666666667,2.91666666666667,3.8,4.1,3.75,4.75,4.25,5,1,5,5,5,5,4.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",173,"LEXINGTON",2,"NANDINO",7,"""Sales Ethical""",44,"ACTIVE",1,1,0,"FEMALE",0,"White",1,27,1.16666666666667,5,"""University of Georgia""",2003,111.248463429119,111.389541113547,105.507477117064,110.249572761372,116.375634585366,5,1.33,1.625,1.2,1.4125,2.28571428571429,4,1,1,1.33333333333333,1,1,4,2,1,1,2.33,4.75,4,1,2.6,1,5,3.75,4.375,3.5,0.677,2,2.75,2.58333333333333,3.91666666666667,3.25,5,4.3,4,4,4,4,1,4,4,4,4,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",180,"LEXINGTON",2,"NANDINO",7,"""Sales Ideal International""",45,"ACTIVE",1,1,0,"MALE",1,"White",1,28,4.41666666666667,5,"""Eastern Kentucky University""",2005,109.681402240938,86.2034531108678,96.351296409945,77.28145880058,89.2633109067186,3.33,4,2.875,2.9,2.8875,2.85714285714286,1,3.33333333333333,2,3.33333333333333,1,1.2,5,2.4,2,4,5,4,2.875,3.2,4.2,3.4,3.75,3.75,3.75,2,-0.823,1.8,1.9,3.33333333333333,2.16666666666667,2.75,4.2,3.8,4.25,4,4.13,4,1,4,4,4,5,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",182,"LEXINGTON",2,"NANDINO",7,"""Sales Ethical""",44,"ACTIVE",1,1,1,"MALE",1,"White",1,34,7.08333333333333,5,"""Uni""",2000,61.9730949563336,89.9738255663586,81.6532168537802,110.249572761372,79.5703039956995,3.67,4,2.875,3,2.9375,3.71428571428571,3,2.66666666666667,2.75,2.66666666666667,2,2.6,3.5,2.7,2.5,2.5,3.33,4.25,1.5,2.8,3,2.8,3.5,4.5,4,3.75,0.927,2.4,3.075,3.25,2.83333333333333,3.04166666666667,3.7,3.6,3.5,4,3.75,4,2,5,4,4.5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",183,"LEXINGTON",2,"NANDINO",7,"""Diag Indirect Labor """,40,"ACTIVE",1,1,0,"MALE",1,"White",1,46,1.5,2,"""na""",NA,92.4437291709533,111.389541113547,114.663657824183,98.3657177289938,107.104062757435,1.67,5,3.625,4,3.8125,3.42857142857143,4,3.33333333333333,4,4,3,2.2,3.5,2.9,3,5,5,4.75,1.25,4.4,4.8,4.8,4,4,4,1,-1.823,1,1,3.5,2.58333333333333,3.04166666666667,3.9,4.7,3.25,3.25,3.25,4,2,3,3,3,4,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",192,"LEXINGTON",2,"NANDINO",7,"""Sales Ethical""",44,"ACTIVE",1,1,1,"FEMALE",0,"White",1,47,0.416666666666667,6,"""University of Kentucky""",1982,109.681402240938,103.245536609687,114.663657824183,111.207948167209,114.970850975074,3.67,3,2.25,2.8,2.525,2,4,2.83333333333333,1.5,3.66666666666667,2,2.8,2.5,2.43333333333333,2.5,2.5,3.67,4,1.625,3,4,3,3.75,3.75,3.75,2.5,-0.323,2.2,2.35,3.08333333333333,2.83333333333333,2.95833333333333,4,3.4,4,2.75,3.38,4,1,3,3,3,3,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
